# Copyright 2004-2023 H2 Group. Multiple-Licensed under the MPL 2.0,
# and the EPL 1.0 (https://h2database.com/html/license.html).
# Initial Developer: H2 Group

"TABLE_NAME","COLUMN_NAME","DESCRIPTION"

# Tables and views

"CHECK_CONSTRAINTS",,"
Contains CHECK clauses of check and domain constraints.
"

"COLLATIONS",,"
Contains available collations.
"

"COLUMNS",,"
Contains information about columns of tables.
"

"COLUMN_PRIVILEGES",,"
Contains information about privileges of columns.
H2 doesn't have per-column privileges, so this view actually contains privileges of their tables.
"

"CONSTANTS",,"
Contains information about constants.
"

"CONSTRAINT_COLUMN_USAGE",,"
Contains information about columns used in constraints.
"

"DOMAINS",,"
Contains information about domains.
"

"DOMAIN_CONSTRAINTS",,"
Contains basic information about domain constraints.
See also INFORMATION_SCHEMA.CHECK_CONSTRAINTS.
"

"ELEMENT_TYPES",,"
Contains information about types of array elements.
"

"ENUM_VALUES",,"
Contains information about enum values.
"

"FIELDS",,"
Contains information about fields of row values.
"

"INDEXES",,"
Contains information about indexes.
"

"INDEX_COLUMNS",,"
Contains information about columns used in indexes.
"

"INFORMATION_SCHEMA_CATALOG_NAME",,"
Contains a single row with the name of catalog (database name).
"

"IN_DOUBT",,"
Contains information about prepared transactions.
"

"KEY_COLUMN_USAGE",,"
Contains information about columns used by primary key, unique, or referential constraint.
"

"LOCKS",,"
Contains information about tables locked by sessions.
"

"PARAMETERS",,"
Contains information about parameters of routines.
"

"QUERY_STATISTICS",,"
Contains statistics of queries when query statistics gathering is enabled.
"

"REFERENTIAL_CONSTRAINTS",,"
Contains additional information about referential constraints.
"

"RIGHTS",,"
Contains information about granted rights and roles.
"

"ROLES",,"
Contains information about roles.
"

"ROUTINES",,"
Contains information about user-defined routines, including aggregate functions.
"

"SCHEMATA",,"
Contains information about schemas.
"

"SEQUENCES",,"
Contains information about sequences.
"

"SESSIONS",,"
Contains information about sessions.
Only users with ADMIN privileges can see all sessions, other users can see only own session.
"

"SESSION_STATE",,"
Contains the state of the current session.
"

"SETTINGS",,"
Contains values of various settings.
"

"SYNONYMS",,"
Contains information about table synonyms.
"

"TABLES",,"
Contains information about tables.
See also INFORMATION_SCHEMA.COLUMNS.
"

"TABLE_CONSTRAINTS",,"
Contains basic information about table constraints (check, primary key, unique, and referential).
"

"TABLE_PRIVILEGES",,"
Contains information about privileges of tables.
See INFORMATION_SCHEMA.CHECK_CONSTRAINTS, INFORMATION_SCHEMA.KEY_COLUMN_USAGE,
and INFORMATION_SCHEMA.REFERENTIAL_CONSTRAINTS for additional information.
"

"TRIGGERS",,"
Contains information about triggers.
"

"USERS",,"
Contains information about users.
Only users with ADMIN privileges can see all users, other users can see only themselves.
"

"VIEWS",,"
Contains additional information about views.
See INFORMATION_SCHEMA.TABLES for basic information.
"

# Common columns with data type information

,"DATA_TYPE","
The SQL data type name.
"

,"CHARACTER_MAXIMUM_LENGTH","
The maximum length in characters for character string data types.
For binary string data types contains the same value as CHARACTER_OCTET_LENGTH.
"

,"CHARACTER_OCTET_LENGTH","
The maximum length in bytes for binary string data types.
For character string data types contains the same value as CHARACTER_MAXIMUM_LENGTH.
"

,"NUMERIC_PRECISION","
The precision for numeric data types.
"

,"NUMERIC_PRECISION_RADIX","
The radix of precision (2 or 10) for numeric data types.
"

,"NUMERIC_SCALE","
The scale for numeric data types.
"

,"DATETIME_PRECISION","
The fractional seconds precision for datetime data types.
"

,"INTERVAL_TYPE","
The data type of interval qualifier for interval data types.
"

,"INTERVAL_PRECISION","
The leading field precision for interval data types.
"

,"CHARACTER_SET_CATALOG","
The catalog (database name) for character string data types.
"

,"CHARACTER_SET_SCHEMA","
The name of public schema for character string data types.
"

,"CHARACTER_SET_NAME","
The 'Unicode' for character string data types.
"

,"COLLATION_CATALOG","
The catalog (database name) for character string data types.
"

,"COLLATION_SCHEMA","
The name of public schema for character string data types.
"

,"COLLATION_NAME","
The name of collation for character string data types.
"

,"MAXIMUM_CARDINALITY","
The maximum cardinality for array data types.
"

,"DTD_IDENTIFIER","
The data type identifier to read additional information from INFORMATION_SCHEMA.ELEMENT_TYPES for array data types,
INFORMATION_SCHEMA.ENUM_VALUES for ENUM data type, and INFORMATION_SCHEMA.FIELDS for row value data types.
"

,"DECLARED_DATA_TYPE","
The declared SQL data type name for numeric data types.
"

,"DECLARED_NUMERIC_PRECISION","
The declared precision, if any, for numeric data types.
"

,"DECLARED_NUMERIC_SCALE","
The declared scale, if any, for numeric data types.
"

,"GEOMETRY_TYPE","
The geometry type constraint, if any, for geometry data types.
"

,"GEOMETRY_SRID","
The geometry SRID (Spatial Reference Identifier) constraint, if any, for geometry data types.
"

# Other common fields

,"CONSTRAINT_CATALOG","
The catalog (database name).
"

,"CONSTRAINT_SCHEMA","
The schema of the constraint.
"

,"CONSTRAINT_NAME","
The name of the constraint.
"

,"DOMAIN_CATALOG","
The catalog (database name).
"

,"DOMAIN_SCHEMA","
The schema of domain.
"

,"DOMAIN_NAME","
The name of domain.
"

,"INDEX_CATALOG","
The catalog (database name).
"

,"INDEX_SCHEMA","
The schema of the index.
"

,"INDEX_NAME","
The name of the index.
"

,"OBJECT_CATALOG","
The catalog (database name).
"

,"OBJECT_SCHEMA","
The schema of the object.
"

,"OBJECT_NAME","
The name of the object.
"

,"OBJECT_TYPE","
The TYPE of the object ('CONSTANT', 'DOMAIN', 'TABLE', or 'ROUTINE').
"

,"SPECIFIC_CATALOG","
The catalog (database name).
"

,"SPECIFIC_SCHEMA","
The schema of the overloaded version of routine.
"

,"SPECIFIC_NAME","
The name of the overloaded version of routine.
"

,"TABLE_CATALOG","
The catalog (database name).
"

,"TABLE_SCHEMA","
The schema of the table.
"

,"TABLE_NAME","
The name of the table.
"

,"COLUMN_NAME","
The name of the column.
"

,"ORDINAL_POSITION","
The ordinal position (1-based).
"

,"GRANTOR","
NULL.
"

,"GRANTEE","
The name of grantee.
"

,"PRIVILEGE_TYPE","
'SELECT', 'INSERT', 'UPDATE', or 'DELETE'.
"

,"IS_GRANTABLE","
Whether grantee may grant rights to this object to others ('YES' or 'NO').
"

,"REMARKS","
Optional remarks.
"

,"SESSION_ID","
The identifier of the session.
"

# Individual fields

"CHECK_CONSTRAINTS","CHECK_CLAUSE","
The SQL of CHECK clause.
"

"COLLATIONS","PAD_ATTRIBUTE","
'NO PAD'.
"

"COLLATIONS","LANGUAGE_TAG","
The language tag.
"

"COLUMNS","COLUMN_DEFAULT","
The SQL of DEFAULT expression, if any.
"

"COLUMNS","IS_NULLABLE","
Whether column may contain NULL value ('YES' or 'NO').
"

"COLUMNS","DOMAIN_CATALOG","
The catalog for columns with domain.
"

"COLUMNS","DOMAIN_SCHEMA","
The schema of domain for columns with domain.
"

"COLUMNS","DOMAIN_NAME","
The name of domain for columns with domain.
"

"COLUMNS","IS_IDENTITY","
Whether column is an identity column ('YES' or 'NO').
"

"COLUMNS","IDENTITY_GENERATION","
Identity generation ('ALWAYS' or 'BY DEFAULT') for identity columns.
"

"COLUMNS","IDENTITY_START","
The initial start value for identity columns.
"

"COLUMNS","IDENTITY_INCREMENT","
The increment value for identity columns.
"

"COLUMNS","IDENTITY_MAXIMUM","
The maximum value for identity columns.
"

"COLUMNS","IDENTITY_MINIMUM","
The minimum value for identity columns.
"

"COLUMNS","IDENTITY_CYCLE","
Whether identity values are cycled ('YES' or 'NO') for identity columns.
"

"COLUMNS","IS_GENERATED","
Whether column is an generated column ('ALWAYS' or 'NEVER')
"

"COLUMNS","GENERATION_EXPRESSION","
The SQL of GENERATED ALWAYS AS expression for generated columns.
"

"COLUMNS","IDENTITY_BASE","
The current base value for identity columns.
"

"COLUMNS","IDENTITY_CACHE","
The cache size for identity columns.
"

"COLUMNS","COLUMN_ON_UPDATE","
The SQL of ON UPDATE expression, if any.
"

"COLUMNS","IS_VISIBLE","
Whether column is visible (included into SELECT *).
"

"COLUMNS","DEFAULT_ON_NULL","
Whether value of DEFAULT expression is used when NULL value is inserted.
"

"COLUMNS","SELECTIVITY","
The selectivity of a column (0-100), used to choose the best index.
"

"CONSTANTS","CONSTANT_CATALOG","
The catalog (database name).
"

"CONSTANTS","CONSTANT_SCHEMA","
The schema of the constant.
"

"CONSTANTS","CONSTANT_NAME","
The name of the constant.
"

"CONSTANTS","VALUE_DEFINITION","
The SQL of value.
"

"DOMAINS","DOMAIN_DEFAULT","
The SQL of DEFAULT expression, if any.
"

"DOMAINS","DOMAIN_ON_UPDATE","
The SQL of ON UPDATE expression, if any.
"

"DOMAINS","PARENT_DOMAIN_CATALOG","
The catalog (database name) for domains with parent domain.
"

"DOMAINS","PARENT_DOMAIN_SCHEMA","
The schema of parent domain for domains with parent domain.
"

